"energy [MeV]" "sepctrum [ph/cm2/s/MeV]"
29999.999999999996 4.507338978013458e-10
32168.016660309688 3.892995100360321e-10
34492.70986193206 3.3623854175061365e-10
36985.40218326198 2.9040970780598995e-10
39658.23445398088 2.5082727860065875e-10
42524.22488780416 2.1663987807268088e-10
45597.332488588014 1.8711217150375272e-10
48892.52503861932 1.6160904924948254e-10
52425.85200023051 1.3958196620468314e-10
56214.52268581151 1.2055714318007275e-10
60276.9900769514 1.0412537641451369e-10
64633.04070095649 8.993323603620602e-11
69303.89100249475 7.767546416107445e-11
74312.2906797513 6.708840911950898e-11
79682.63348840059 5.7944354588641494e-11
85441.07605307405 5.004662165580945e-11
91615.66526500245 4.322533846378732e-11
98236.47488633184 3.733378644734319e-11
105335.75202645392 3.2245244572544234e-11
112948.07420377404 2.7850263701746385e-11
121110.51775789664 2.4054312458750647e-11
129862.83843249171 2.0775743959182854e-11
139247.66500838337 1.7944039672624293e-11
149310.70692996331 1.5498292643830748e-11
160100.97693618928 1.3385897448737067e-11
171671.0297805065 1.156141870759105e-11
184077.21820239513 9.98561381813421e-12
197379.9673972704 8.62458888885696e-12
211644.06932155928 7.449069717347973e-12
226938.99826638863 6.43377213325523e-12
243339.24923690615 5.556858162604024e-12
260924.70078533498 4.799466316143158e-12
279781.00406496593 4.1453058987199876e-12
299999.99999999994 3.5803066137093774e-12
321680.1666030969 3.0923159258594903e-12
344927.09861932066 2.670837673150315e-12
369854.02183261974 2.306806305483264e-12
396582.3445398088 1.9923918943155676e-12
425242.2488780416 1.7208317192035616e-12
455973.3248858801 1.486284808860029e-12
488925.2503861932 1.2837063080581093e-12
524258.5200023051 1.1087389681471023e-12
562145.226858115 9.576194272562963e-13
602769.900769514 8.270972643734196e-13
646330.4070095653 7.143650862368154e-13
693038.910024948 6.169981432845536e-13
743122.9067975134 5.329021758635989e-13
796826.334884006 4.60268368926334e-13
854410.7605307405 3.9753444633773116e-13
916156.6526500245 3.433510679729976e-13
982364.7488633184 2.9655280684291416e-13
1053357.5202645392 2.5613308199561785e-13
1129480.74203774 2.2122250802813946e-13
1211105.1775789666 1.9107019552865687e-13
1298628.3843249176 1.650276002418136e-13
1392476.6500838336 1.4253457356978126e-13
1493107.0692996331 1.2310731437014392e-13
1601009.7693618927 1.0632796290655577e-13
1716710.297805065 9.18356131290908e-14
1840772.1820239516 7.931854996796937e-14
1973799.6739727044 6.850754467308398e-14
2116440.693215593 5.917006398919113e-14
2269389.982663887 5.1105268612268967e-14
2433392.4923690613 4.4139693349144675e-14
2609247.0078533497 3.812351606520645e-14
2797810.0406496595 3.292733516922398e-14
2999999.9999999995 2.843938632239439e-14
3216801.666030969 2.4563138505977506e-14
3449270.9861932066 2.1215217741485964e-14
3698540.218326197 1.8323613804853622e-14
3965823.4453980853 1.582613136290654e-14
4252422.488780414 1.3669052217725164e-14
4559733.248858799 1.1805979885193038e-14
4889252.503861934 1.0196841655842218e-14
5242585.200023053 8.807026673383082e-15
5621452.268581155 7.606641491901701e-15
6027699.007695143 6.5698670995501995e-15
6463304.070095653 5.6744035789914865e-15
6930389.10024948 4.900990459833786e-15
7431229.067975133 4.232992446344611e-15
7968263.34884006 3.656041609886792e-15
8544107.605307404 3.1577283500154455e-15
9161566.526500246 2.7273344771368787e-15
9823647.488633184 2.3556026756206274e-15
10533575.202645391 2.0345373887606867e-15
11294807.420377402 1.757232842832702e-15
12111051.77578966 1.5177245112270143e-15
12986283.84324917 1.310860823808643e-15
13924766.500838345 1.1321923621086243e-15
14931070.69299634 9.778761570528347e-16
16010097.693618935 8.445930307739322e-16
17167102.978050657 7.294762046165266e-16
18407721.820239525 6.300496377694672e-16
19737996.739727046 5.441747702546564e-16
21164406.932155933 4.700045247705697e-16
22693899.82663887 4.059435780189384e-16
24333924.923690613 3.5061404699297193e-16
26092470.078533497 3.0282585217558218e-16
27978100.406496596 2.6155112019144434e-16
29999999.999999996 2.2590207534109404e-16
